food_name_in_jsonl,unit_names_in_jsonl,result,filled_coef,matched_by,matched_source_food,matched_source_status,matched_source_version
米饭,小碗 / 碟,not_found,,,,,
米饭,盘,not_found,,,,,
米饭,小份,not_found,,,,,
米饭,盒,not_found,,,,,
米饭,拳 / 拳头,not_found,,,,,
米饭,大碗,not_found,,,,,
米饭,两,not_found,,,,,
鸡蛋,个 / 只 / 枚,not_found,,,,,
鸡蛋,g / 克 / G,not_found,,,,,
鸡蛋,颗,not_found,,,,,
鸡蛋,碗,not_found,,,,,
香蕉,根,not_found,,,,,
香蕉,个,not_found,,,,,
香蕉,g / 克 / G,not_found,,,,,
牛奶,杯,not_found,,,,,
牛奶,ml / mL / 毫升 / ML / Ml,not_found,,,,,
牛奶,g / 克 / G,not_found,,,,,
牛奶,瓶,not_found,,,,,
牛奶,盒,not_found,,,,,
牛奶,袋,not_found,,,,,
牛奶,碗,not_found,,,,,
牛奶,包,not_found,,,,,
馒头,个,not_found,,,,,
馒头,g / 克 / G,not_found,,,,,
馒头,块,not_found,,,,,
玉米,根,not_found,,,,,
玉米,g / 克 / G,not_found,,,,,
玉米,个,not_found,,,,,
玉米,段,not_found,,,,,
玉米,块,not_found,,,,,
玉米,节,not_found,,,,,
苹果,个,not_found,,,,,
苹果,g / 克 / G,not_found,,,,,
黄瓜,根,not_found,,,,,
黄瓜,g / 克 / G,not_found,,,,,
黄瓜,个,not_found,,,,,
黄瓜,小盘 / 碟,not_found,,,,,
黄瓜,份,not_found,,,,,
豆浆,杯,not_found,,,,,
豆浆,碗,not_found,,,,,
豆浆,ml / mL / 毫升 / ML / Ml,not_found,,,,,
豆浆,g / 克 / G,not_found,,,,,
豆浆,袋,not_found,,,,,
豆浆,份,not_found,,,,,
西瓜,拳,not_found,,,,,
西瓜,g / 克 / G,not_found,,,,,
西瓜,块,not_found,,,,,
西瓜,个,not_found,,,,,
西瓜,片,not_found,,,,,
西瓜,份,not_found,,,,,
生菜,小盘 / 碟 / 叠,not_found,,,,,
生菜,g / 克 / G,not_found,,,,,
生菜,片 / 叶,not_found,,,,,
生菜,碗,not_found,,,,,
生菜,份,not_found,,,,,
生菜,颗 / 个 / 棵 / 根,not_found,,,,,
生菜,盘,not_found,,,,,
红薯,个,not_found,,,,,
红薯,g / 克 / G,not_found,,,,,
红薯,根,not_found,,,,,
红薯,块,not_found,,,,,
青菜,小盘 / 碟,not_found,,,,,
青菜,g / 克 / G,not_found,,,,,
青菜,份,not_found,,,,,
青菜,小份,not_found,,,,,
青菜,盘,not_found,,,,,
青菜,小碗 / 碟,not_found,,,,,
青菜,碗,not_found,,,,,
青菜,片,not_found,,,,,
青菜,大碗,not_found,,,,,
青菜,把,not_found,,,,,
青菜,颗 / 个 / 根,not_found,,,,,
酸奶,杯,not_found,,,,,
酸奶,g / 克 / G,not_found,,,,,
酸奶,瓶 / 罐,not_found,,,,,
酸奶,小袋,not_found,,,,,
酸奶,袋,not_found,,,,,
酸奶,盒,not_found,,,,,
酸奶,勺,not_found,,,,,
酸奶,ml / mL / 毫升 / ML / Ml,not_found,,,,,
酸奶,份,not_found,,,,,
酸奶,碗,not_found,,,,,
酸奶,包,not_found,,,,,
酸奶,个,not_found,,,,,
西兰花,g / 克 / G,not_found,,,,,
西兰花,小盘 / 碟,not_found,,,,,
西兰花,份,not_found,,,,,
西兰花,小份,not_found,,,,,
西兰花,个,not_found,,,,,
西兰花,串,not_found,,,,,
西兰花,口 / 勺,not_found,,,,,
西兰花,盘,not_found,,,,,
西兰花,盒,not_found,,,,,
西兰花,颗,not_found,,,,,
西兰花,块,not_found,,,,,
西兰花,碗,not_found,,,,,
西兰花,小碗 / 碟,not_found,,,,,
西兰花,朵 / 小块,not_found,,,,,
西兰花,小朵,not_found,,,,,
牛肉,袋,not_found,,,,,
牛肉,g / 克 / G,not_found,,,,,
牛肉,份,not_found,,,,,
牛肉,片,not_found,,,,,
牛肉,块,not_found,,,,,
牛肉,盘,not_found,,,,,
煎蛋,个 / 颗,not_found,,,,,
煎蛋,g / 克 / G,not_found,,,,,
去皮鸡腿,个,not_found,,,,,
去皮鸡腿,块 / 根,not_found,,,,,
去皮鸡腿,份,not_found,,,,,
去皮鸡腿,袋,not_found,,,,,
去皮鸡腿,小包,not_found,,,,,
去皮鸡腿,g / 克 / G,not_found,,,,,
西红柿,小盘 / 碟,not_found,,,,,
西红柿,个 / 颗,not_found,,,,,
西红柿,g / 克 / G,not_found,,,,,
西红柿,块,not_found,,,,,
西红柿,片,not_found,,,,,
鸡蛋白,个,not_found,,,,,
鸡蛋白,g,not_found,,,,,
鸡蛋白,颗,not_found,,,,,
鸡蛋白,份,not_found,,,,,
鸡蛋白,只,not_found,,,,,
柚子,瓣 / 片,not_found,,,,,
柚子,小瓣 / 小片,not_found,,,,,
柚子,g / 克 / G,not_found,,,,,
柚子,口,not_found,,,,,
柚子,个 / 颗,not_found,,,,,
柚子,块,not_found,,,,,
柚子,盒,not_found,,,,,
柚子,碗,not_found,,,,,
柚子,kg / 千克 / Kg / KG / kG,not_found,,,,,
柚子,份,not_found,,,,,
葡萄,颗,not_found,,,,,
葡萄,g / 克 / G,not_found,,,,,
葡萄,个,not_found,,,,,
葡萄,串,not_found,,,,,
葡萄,份,not_found,,,,,
葡萄,粒,not_found,,,,,
面包,个,not_found,,,,,
面包,片,not_found,,,,,
面包,g / 克 / G,not_found,,,,,
面包,块,not_found,,,,,
面包,份,not_found,,,,,
面包,袋,not_found,,,,,
面包,包,not_found,,,,,
鸡腿,只,not_found,,,,,
鸡腿,个,not_found,,,,,
鸡腿,g / 克 / G,not_found,,,,,
鸡腿,份,not_found,,,,,
鸡腿,块,not_found,,,,,
鸡腿,小盘 / 碟,not_found,,,,,
鸡腿,根,not_found,,,,,
橘子,个 / 颗,not_found,,,,,
橘子,g / 克 / G,not_found,,,,,
橘子,瓣 / 片,not_found,,,,,
胡萝卜,根,not_found,,,,,
胡萝卜,g / 克 / G,not_found,,,,,
胡萝卜,个,not_found,,,,,
胡萝卜,盘,not_found,,,,,
胡萝卜,小盘 / 碟,not_found,,,,,
胡萝卜,碗,not_found,,,,,
胡萝卜,小碗,not_found,,,,,
胡萝卜,块,not_found,,,,,
胡萝卜,段,not_found,,,,,
胡萝卜,小块,not_found,,,,,
胡萝卜,片,not_found,,,,,
胡萝卜,份,not_found,,,,,
橙子,个,not_found,,,,,
橙子,g / 克 / G,not_found,,,,,
橙子,瓣,not_found,,,,,
橙子,片,not_found,,,,,
小米粥,小碗,not_found,,,,,
小米粥,碗,not_found,,,,,
小米粥,g / 克 / G,not_found,,,,,
小米粥,杯,not_found,,,,,
小米粥,份,not_found,,,,,
火龙果,个 / 颗,not_found,,,,,
火龙果,g / 克 / G,not_found,,,,,
火龙果,块,not_found,,,,,
蛋白粉,勺 / shao,not_found,,,,,
蛋白粉,g / 克 / G,not_found,,,,,
蛋白粉,ml / mL / 毫升 / ML / Ml,not_found,,,,,
蛋白粉,袋,not_found,,,,,
蛋白粉,条,not_found,,,,,
蛋白粉,杯,not_found,,,,,
蛋白粉,份,not_found,,,,,
燕麦,小把,not_found,,,,,
燕麦,g / 克 / G,not_found,,,,,
燕麦,份,not_found,,,,,
燕麦,碗,not_found,,,,,
燕麦,小碗,not_found,,,,,
燕麦,块,not_found,,,,,
燕麦,杯,not_found,,,,,
燕麦,勺,not_found,,,,,
燕麦,小勺,not_found,,,,,
燕麦,包,not_found,,,,,
燕麦,袋,not_found,,,,,
燕麦,罐,not_found,,,,,
小番茄,颗,not_found,,,,,
小番茄,g / 克 / G,not_found,,,,,
小番茄,份,not_found,,,,,
小番茄,个,not_found,,,,,
李子,颗,not_found,,,,,
李子,个,not_found,,,,,
李子,g / 克 / G,not_found,,,,,
卤牛肉,小盘 / 碟,not_found,,,,,
卤牛肉,袋,not_found,,,,,
卤牛肉,g / 克 / G,not_found,,,,,
卤牛肉,片,not_found,,,,,
卤牛肉,份,not_found,,,,,
金针菇,小盘 / 碟,not_found,,,,,
金针菇,g / 克 / G,not_found,,,,,
金针菇,份,not_found,,,,,
金针菇,串,not_found,,,,,
金针菇,盘,not_found,,,,,
金针菇,个,not_found,,,,,
金针菇,包,not_found,,,,,
金针菇,把,not_found,,,,,
烤肠,根,not_found,,,,,
烤肠,个,not_found,,,,,
烤肠,g / 克 / G,not_found,,,,,
桃,个 / 颗,not_found,,,,,
桃,片,not_found,,,,,
桃,拳,not_found,,,,,
桃,块,not_found,,,,,
桃,g / 克 / G,not_found,,,,,
椰子水,杯,not_found,,,,,
椰子水,ml / mL / 毫升 / ML / Ml,not_found,,,,,
椰子水,l / 升 / L,not_found,,,,,
椰子水,瓶,not_found,,,,,
椰子水,g / 克 / G,not_found,,,,,
椰子水,份,not_found,,,,,
椰子水,袋,not_found,,,,,
椰子水,个 / 支,not_found,,,,,
椰子水,盒,not_found,,,,,
鸡肉,g / 克 / G,not_found,,,,,
鸡肉,块 / 片 / 勺,not_found,,,,,
鸡肉,份,not_found,,,,,
鸡肉,碗,not_found,,,,,
鸡肉,拳,not_found,,,,,
鸡肉,只 / 个,not_found,,,,,
鸡肉,盒,not_found,,,,,
鸡肉,盘,not_found,,,,,
鸡肉,小盘 / 碟,not_found,,,,,
鸡肉,小块,not_found,,,,,
猕猴桃,个,not_found,,,,,
猕猴桃,g / 克 / G,not_found,,,,,
猕猴桃,颗,not_found,,,,,
土豆丝,小盘 / 碟,not_found,,,,,
土豆丝,g / 克 / G,not_found,,,,,
土豆丝,份,not_found,,,,,
土豆丝,盘,not_found,,,,,
土豆丝,碗,not_found,,,,,
土豆丝,小份,not_found,,,,,
娃娃菜,小盘 / 碟,not_found,,,,,
娃娃菜,g / 克 / G,not_found,,,,,
娃娃菜,碗,not_found,,,,,
娃娃菜,小碗,not_found,,,,,
娃娃菜,份,not_found,,,,,
娃娃菜,片 / 根 / 页 / 叶,not_found,,,,,
娃娃菜,颗,not_found,,,,,
娃娃菜,个,not_found,,,,,
娃娃菜,串,not_found,,,,,
娃娃菜,盘,not_found,,,,,
肉包,个 / 只,not_found,,,,,
肉包,g / 克 / G,not_found,,,,,
豆腐,g / 克 / G,not_found,,,,,
豆腐,块,not_found,,,,,
豆腐,份,not_found,,,,,
豆腐,片,not_found,,,,,
豆腐,碗,not_found,,,,,
豆腐,小碗,not_found,,,,,
豆腐,个,not_found,,,,,
豆腐,小块,not_found,,,,,
豆腐,小盘 / 碟,not_found,,,,,
豆腐,盘,not_found,,,,,
鸡胸肉,g / 克 / G,not_found,,,,,
鸡胸肉,块,not_found,,,,,
鸡胸肉,份,not_found,,,,,
鸡胸肉,个,not_found,,,,,
鸡胸肉,袋,not_found,,,,,
鸡胸肉,包,not_found,,,,,
鸡胸肉,片,not_found,,,,,
鸡胸肉,小块,not_found,,,,,
鸡胸肉,小盘 / 碟,not_found,,,,,
鸡胸肉,盘,not_found,,,,,
鸡胸肉,碗,not_found,,,,,
梨,个,not_found,,,,,
梨,g / 克 / G,not_found,,,,,
梨,块 / 片,not_found,,,,,
梨,颗,not_found,,,,,
花卷,个,not_found,,,,,
花卷,g / 克 / G,not_found,,,,,
小笼包,个,not_found,,,,,
小笼包,笼,not_found,,,,,
小笼包,份,not_found,,,,,
小笼包,g / 克 / G,not_found,,,,,
面条,g / 克 / G,not_found,,,,,
面条,口,not_found,,,,,
面条,碗,not_found,,,,,
面条,份,not_found,,,,,
面条,小碗,not_found,,,,,
面条,盘,not_found,,,,,
面条,小盘 / 碟,not_found,,,,,
面条,大碗,not_found,,,,,
吐司,片,not_found,,,,,
吐司,g / 克 / G,not_found,,,,,
吐司,个,not_found,,,,,
吐司,块,not_found,,,,,
吐司,包 / 袋,not_found,,,,,
吐司,份,not_found,,,,,
油条,根,not_found,,,,,
油条,g / 克 / G,not_found,,,,,
油条,个,not_found,,,,,
油条,份,not_found,,,,,
麦片,份,not_found,,,,,
麦片,g / 克 / G,not_found,,,,,
麦片,碗,not_found,,,,,
麦片,杯,not_found,,,,,
麦片,包,not_found,,,,,
麦片,勺,not_found,,,,,
麦片,块,not_found,,,,,
麦片,袋,not_found,,,,,
西梅,颗,not_found,,,,,
西梅,个,not_found,,,,,
西梅,g / 克 / G,not_found,,,,,
